Phase,Category,Task,Priority,Status,Estimated Time,Notes,Prerequisites
Phase 1,Initial Setup,파이어볼 스킬 생성,🔥 필수,⬜ 미완료,30분,"Create → Game → Skill Data, 파일명: Fireball_Skill",없음
Phase 1,Initial Setup,SkillManager 기본 설정,🔥 필수,⬜ 미완료,15분,Resources 폴더에 생성하고 Fireball_Skill 할당,파이어볼 스킬 생성 완료
Phase 1,Initial Setup,테스트 환경 구성,🔥 필수,⬜ 미완료,20분,SkillTestManager 오브젝트 + SkillPerformanceTest 컴포넌트,SkillManager 설정 완료
Phase 1,Initial Setup,동작 테스트 실행,🔥 필수,⬜ 미완료,10분,성능 테스트 실행하여 정상 동작 확인,테스트 환경 구성 완료
Phase 1,Skill Creation,힐링 스킬 생성,⚡ 중요,⬜ 미완료,20분,"Type: Heal, FixedValue: 30",기본 세팅 완료
Phase 1,Skill Creation,공격 버프 스킬 생성,⚡ 중요,⬜ 미완료,20분,"Type: AttackBuff, PercentValue: 20, Duration: 10",기본 세팅 완료
Phase 1,Skill Creation,디버프 스킬 생성,⚡ 중요,⬜ 미완료,20분,"Type: SpeedDebuff, PercentValue: -30, Duration: 5",기본 세팅 완료
Phase 1,Skill Creation,다중 히트 스킬 생성,💡 선택,⬜ 미완료,25분,"HitCount: 3, FixedValue: 20",기본 스킬들 완료
Phase 1,Skill Creation,AoE 스킬 생성,💡 선택,⬜ 미완료,25분,"TargetType: AllEnemies, FixedValue: 40",기본 스킬들 완료
Phase 1,Scaling Test,Linear 스케일링 테스트,⚡ 중요,⬜ 미완료,30분,perLevelValue: 10으로 테스트,스킬 생성 완료
Phase 1,Scaling Test,Exponential 스케일링 테스트,💡 선택,⬜ 미완료,20분,exponentialBase: 1.15로 테스트,Linear 테스트 완료
Phase 1,Scaling Test,Step 스케일링 테스트,💡 선택,⬜ 미완료,20분,"stepLevels: [1,3,5,7,10]으로 테스트",Exponential 테스트 완료
Phase 1,Integration,몬스터 카드 스킬 할당,⚡ 중요,⬜ 미완료,40분,skillNames 배열에 스킬명 입력,스킬 생성 모두 완료
